ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,33.466312,37.375000,1000.091309,38.669987,0.000000,0.0,0.0,0.0,1000.009949,5.530000,40.546631,0.0,15600.000000,0.0,0.0,9.159999,0.0,1229900720,23520.000000,42.665516,21.120012,0.0,349.000000,5.000000,13920.000000,20880.000000,0.370000,0.0,0.000000,13800.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.120000,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,15840.000000,13560.000000,7600,0.0,13920.000000,0.0,23280.000000,20520.000000,0.000000,15600.000000,0.0,23160.000000,13800.000000,0.120000,23160.000000
1,32.710480,36.458332,1000.029053,34.769989,0.120000,0.0,0.0,0.0,1000.054626,5.020000,41.458534,0.0,15720.000000,0.0,0.0,8.770000,0.120000,1229908400,23520.000000,42.861965,23.420015,0.0,348.000000,5.000000,13920.000000,20640.000000,0.120000,0.0,0.000000,13680.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.120000,0.000000,0.0,0.730000,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,16080.000000,13560.000000,7680,0.0,13920.000000,0.0,22920.000000,20400.000000,0.000000,16080.000000,0.0,23280.000000,13800.000000,1.100000,23160.000000
2,33.536182,37.416668,1000.038818,38.189983,0.000000,0.0,0.0,0.0,999.999268,4.780000,40.472103,0.0,15600.000000,0.0,0.0,8.410001,0.120000,1229916000,23280.000000,42.632843,21.310015,0.0,349.000000,5.000000,13920.000000,20640.000000,0.0,0.0,0.000000,13680.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.360000,0.000000,0.0,0.250000,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15840.000000,13560.000000,7600,0.0,13920.000000,0.0,23280.000000,20520.000000,0.000000,15600.000000,0.0,23280.000000,13800.000000,0.500000,22920.000000
3,32.883030,36.666668,1000.036133,40.600002,0.000000,0.0,0.0,0.0,999.999817,5.140000,40.955105,0.0,15600.000000,0.0,0.0,7.759999,0.0,1229923600,23520.000000,43.117790,20.270016,0.0,349.000000,5.000000,13920.000000,20640.000000,0.240000,0.0,0.000000,13680.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.240000,0.000000,0.0,0.0,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15840.000000,13560.000000,7600,0.0,13920.000000,0.0,23160.000000,20400.000000,0.000000,15600.000000,0.0,22920.000000,13800.000000,0.490000,22920.000000
4,33.218201,37.083332,1000.086426,35.779995,0.120000,0.0,0.0,0.0,999.999451,5.410000,41.572479,0.0,15600.000000,0.0,0.0,6.750000,0.120000,1229931280,23280.000000,43.784813,26.240019,0.0,349.000000,5.000000,14040.000000,20880.000000,0.340000,0.0,0.000000,13680.000000,0.0,0.120000,0.0,0.0,0.0,0.120000,0.0,0.610000,0.000000,0.0,0.120000,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23520.000000,15960.000000,13560.000000,7680,0.0,13800.000000,0.0,23160.000000,20400.000000,0.000000,15600.000000,0.0,23160.000000,13800.000000,0.730000,23280.000000
5,33.043385,36.875000,1000.006348,38.209984,0.110000,0.0,0.0,0.0,1000.018616,4.090000,40.629566,0.0,15600.000000,0.0,0.0,8.490000,0.0,1229939040,23520.000000,41.966343,22.320011,0.0,348.000000,5.000000,13920.000000,20640.000000,0.490000,0.0,0.000000,13680.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.460000,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15840.000000,13680.000000,7760,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,15600.000000,0.0,23280.000000,13800.000000,0.850000,22920.000000
6,33.366226,37.208332,1000.002686,34.839985,0.000000,0.0,0.0,0.0,1000.061462,3.940000,41.005142,0.0,15720.000000,0.0,0.0,9.050000,0.0,1229946640,23280.000000,42.451973,23.110016,0.0,349.000000,5.000000,13920.000000,20520.000000,0.250000,0.0,0.000000,13680.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.250000,0.000000,0.0,0.620000,0.0,0.0,0.0,20520.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,16080.000000,13560.000000,7600,0.0,13800.000000,0.0,22920.000000,20520.000000,0.000000,16080.000000,0.0,23160.000000,13800.000000,0.490000,23160.000000
7,33.289474,37.125000,999.997070,38.359985,0.000000,0.0,0.0,0.0,1000.001404,3.930000,40.776337,0.0,15600.000000,0.0,0.0,9.040000,0.120000,1229954240,23280.000000,43.282730,22.200014,0.0,349.000000,5.000000,13920.000000,20640.000000,0.250000,0.0,0.000000,13680.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.500000,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23280.000000,15960.000000,13440.000000,7600,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,15600.000000,0.0,22920.000000,13800.000000,0.860000,23160.000000
8,32.926434,36.750000,999.994568,34.439991,0.000000,0.0,0.0,0.0,999.999817,5.140000,41.741371,0.0,15600.000000,0.0,0.0,10.340000,0.0,1229961840,23280.000000,43.168690,23.570021,0.0,349.000000,5.000000,14040.000000,20640.000000,0.480000,0.0,0.000000,13680.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.370000,0.000000,0.0,1.100000,0.0,0.0,0.0,20400.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,15840.000000,13560.000000,7600,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,16080.000000,0.0,23160.000000,13920.000000,0.490000,22920.000000
9,32.968212,36.750000,1000.055237,37.619987,0.000000,0.0,0.0,0.0,999.999939,4.050000,40.420082,0.0,15720.000000,0.0,0.0,6.220000,0.0,1229969600,23520.000000,42.572983,22.840014,0.0,349.000000,5.000000,13920.000000,20640.000000,0.370000,0.0,0.000000,13560.000000,0.0,0.120000,0.0,0.0,0.0,0.0,0.0,0.120000,0.000000,0.0,0.370000,0.0,0.0,0.0,20640.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,15960.000000,13560.000000,7760,0.0,13800.000000,0.0,23160.000000,20520.000000,0.000000,15600.000000,0.0,23160.000000,13800.000000,0.740000,23160.000000
